時間,設備,值
2024-10-12 16:10:00,SA-01/LED_LEVEL,1
2024-10-12 16:10:01,SA-01/LED_LEVEL,2
2024-10-12 16:10:02,SA-01/LED_LEVEL,3
2024-10-12 16:10:03,SA-01/LED_LEVEL,4
2024-10-12 16:10:05,SA-01/LED_LEVEL,6
2024-10-12 16:10:06,SA-01/LED_LEVEL,8
2024-10-12 16:10:43,SA-01/LED_LEVEL,6
2024-10-12 16:10:45,SA-01/LED_LEVEL,5
2024-10-12 16:11:40,SA-01/LED_LEVEL,7
2024-10-12 16:11:41,SA-01/LED_LEVEL,8
2024-10-12 16:11:42,SA-01/LED_LEVEL,9
2024-10-12 16:11:43,SA-01/LED_LEVEL,10
2024-10-12 16:11:47,SA-01/LED_LEVEL,9
2024-10-12 16:11:48,SA-01/LED_LEVEL,10
2024-10-12 16:11:49,SA-01/LED_LEVEL,9
2024-10-12 16:11:50,SA-01/LED_LEVEL,8
2024-10-12 16:11:51,SA-01/LED_LEVEL,7
2024-10-12 16:11:52,SA-01/LED_LEVEL,6
2024-10-12 16:11:53,SA-01/LED_LEVEL,5
2024-10-12 16:11:54,SA-01/LED_LEVEL,4
2024-10-12 16:13:15,SA-01/LED_LEVEL,4
2024-10-12 16:13:40,SA-01/LED_LEVEL,6
2024-10-12 16:13:41,SA-01/LED_LEVEL,7
2024-10-12 16:13:42,SA-01/LED_LEVEL,9
2024-10-12 16:13:43,SA-01/LED_LEVEL,7
2024-10-12 16:13:44,SA-01/LED_LEVEL,6
2024-10-12 16:14:17,SA-01/LED_LEVEL,6
2024-10-12 16:14:20,SA-01/LED_LEVEL,8
2024-10-12 16:15:32,SA-01/LED_LEVEL,8
